id,company,state,website,email,score,source_kind,source_url,reasons,review_status,review_reason
105,Iconic Signs & Awnings,New York,https://iconicsignsandawnings.com,info@mazalsigns.com,85,mailto,https://iconicsignsandawnings.com/contact-us/,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
107,"Village Signs, Flags & Graphics",New York,https://villagesignsflagsandgraphics.com,village.signs.design@gmail.com,80,mailto,https://villagesignsflagsandgraphics.com/contact/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
122,Windy City Signs and Graphics,Illinois,https://chicagosignsandgraphics.com,info@mywindysigns.com,80,cloudflare,https://chicagosignsandgraphics.com/contact-us/,found as cloudflare; cloudflare-protected email; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
128,Signs Now Naperville,Illinois,https://www.signsnow.com/naperville,signs@signsnownaperville.com,75,mailto,https://www.signsnow.com/naperville/contact,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
159,Signs Now Beavercreek/Dayton,Ohio,https://www.signsnow.com/beavercreekdayton/,sales@signsnowdayton.com,85,mailto,https://www.signsnow.com/beavercreekdayton/contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
162,A Sign for the Times,Ohio,https://asignforthetimes.com/,sign4times@aol.com,70,mailto,https://asignforthetimes.com/,found as mailto; mailto link; common small-business mailbox,accept,already applied second-pass candidate
165,Laser Tech,Georgia,https://www.lasertechatlanta.com,lasertech@mindspring.com,75,mailto,https://www.lasertechatlanta.com/about.html,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
183,Metro Detroit Laser Engraving,Michigan,https://www.metrodetroitlaserengraving.com/,metrodetroitlaser@gmail.com,80,mailto,https://www.metrodetroitlaserengraving.com/contact,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
186,Michigan Laser Engraving,Michigan,https://milaserengraving.com/,michiganlaserengraving@gmail.com,80,mailto,https://milaserengraving.com/hours-contact-us,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
200,Handicap Sign Inc,Michigan,https://www.hsisign.com/,handicapsign@gmail.com,80,mailto,https://www.hsisign.com/contact/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
244,Prestige Laser Engraving,New Jersey,https://prestigelaserengraving.com/,prestigelaserengraving@hotmail.com,80,mailto,https://prestigelaserengraving.com/contact,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
252,Image360 Baltimore Downtown,Maryland,https://image360.com/baltimore-md-downtown,info@image360baltimoredt.com,85,mailto,https://image360.com/baltimore-md-downtown/contact-us,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
253,My Gadget Signs,Maryland,https://mygadgetsigns.com/,mygadgetsigns@gmail.com,80,mailto,https://mygadgetsigns.com/contact-us/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
255,Heritage Printing - Sign Company,Maryland,https://heritageprinting.com/sign-company-baltimore-md.php,sales@heritagecustomsigns.com,85,mailto,https://heritageprinting.com/contact-heritage.php,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
262,The Sign Shop (Wheaton),Maryland,https://www.thesignshopofwheaton.com/,thesignshop@aol.com,80,mailto,https://www.thesignshopofwheaton.com/contact-4,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
267,J&M Laser Engraving Inc.,Massachusetts,https://www.bostonengraving.com,sales@jmlaserengraving.com,70,visible,https://www.bostonengraving.com/contact.html,found as visible; visible page text; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
279,Boston Signs Company,Massachusetts,https://www.bostonsigns.com,sales@signs.boston,85,mailto,https://www.bostonsigns.com/contact-us,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
283,Signs Now Springfield,Massachusetts,https://www.signsnow.com/springfield,sn206@swbell.net,75,mailto,https://www.signsnow.com/springfield/contact,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
284,Signs Now Plymouth,Massachusetts,https://www.signsnow.com/plymouth,sales@signsnowplymouth.com,85,mailto,https://www.signsnow.com/plymouth/contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
294,Morup Signs,Washington,https://morupsigns.com/,morup@wolfenet.com,75,mailto,https://morupsigns.com/contact/,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
303,SignsTec,Washington,https://signstecspokane.com/,info@signs.today,85,mailto,https://signstecspokane.com/contacts/,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
308,Image360 Tacoma Central,Washington,https://image360.com/tacoma-wa-central,info@image360tacomacentral.com,85,mailto,https://image360.com/tacoma-wa-central/contact-us,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
315,"Phoenix Custom Lasering, LLC",Arizona,https://www.phoenixcustomlasering.com,info@phoenixlasering.com,70,visible,https://www.phoenixcustomlasering.com/contact,found as visible; visible page text; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
332,CraftMaster Sign,Arizona,https://www.craftmastersign.com,craftmastersign@gmail.com,70,mailto,https://www.craftmastersign.com,found as mailto; mailto link; common small-business mailbox,accept,already applied second-pass candidate
337,Colorado Laser Engraving,Colorado,https://www.colaserengraving.com,colaserengraving@gmail.com,75,cloudflare,https://www.colaserengraving.com/staff.html,found as cloudflare; cloudflare-protected email; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
338,"Colorado Laser Technologies, Inc.",Colorado,https://www.coloradolasermarking.com,info@colaser.biz,85,mailto,https://www.coloradolasermarking.com/about,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
340,Synergy Laser Engraving,Colorado,https://synergylaserengraving.com,synergylaserengraving@gmail.com,80,mailto,https://synergylaserengraving.com/contact/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
345,Huston Graphics and Printing,Colorado,https://hustongraphicsandprinting.com,sales@hustongraphics.com,85,mailto,https://hustongraphicsandprinting.com/contact-us/,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
356,All Phase Laser,Tennessee,https://www.allphaselaser.com,allphaselaser@gmail.com,80,mailto,https://www.allphaselaser.com/about.html,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
360,Burnin' Love Laser Engraving,Tennessee,https://www.burninlovelaserengraving.com,sales@901engraving.com,85,mailto,https://www.burninlovelaserengraving.com/pages/contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
368,Signs Now Nashville,Tennessee,https://www.signsnow.com/nashville/engraved-signs,signinfo@bellsouth.net,75,mailto,https://www.signsnow.com/nashville/contact,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
