id,company,state,website,email,score,source_kind,source_url,reasons
127,Captivating Signs,Illinois,https://www.captivatingsigns.com,info@captivatingsigns.com,100,mailto,https://www.captivatingsigns.com,found as mailto; mailto link; email domain matches website; useful contact role
555,American Signs Inc,California,https://americansignsinc.com/,info@americansignsinc.com,100,mailto,https://americansignsinc.com/contact/,found as mailto; mailto link; email domain matches website; useful contact role; found on contact/about-style page
558,Lazer Image Inc,California,https://lazerimageinc.com/,dale@lazerimageinc.com,90,mailto,https://lazerimageinc.com/,found as mailto; mailto link; email domain matches website
563,45 Precision,Mississippi,https://45precision.com/,sales@45precision.com,100,mailto,https://45precision.com/,found as mailto; mailto link; email domain matches website; useful contact role
567,Locked and Lasered,Texas,https://lockedandlaseredfw.com/,sales@lockedandlaseredfw.com,100,mailto,https://lockedandlaseredfw.com/,found as mailto; mailto link; email domain matches website; useful contact role
568,Digi Printing & Cutting,Texas,https://digiprintingshop.com/,sales@digiprintingshop.com,100,mailto,https://digiprintingshop.com/,found as mailto; mailto link; email domain matches website; useful contact role
569,Texas Sign & Graphics,Texas,https://texassignandgraphics.com/,sales@texassignandgraphics.com,95,visible,https://texassignandgraphics.com/contact-us/,found as visible; visible page text; email domain matches website; useful contact role; found on contact/about-style page
571,Etch It Up,Wyoming,https://etchitup.com/,info@etchitup.com,100,mailto,https://www.etchitup.com/about-2,found as mailto; mailto link; email domain matches website; useful contact role; found on contact/about-style page
574,DS Laser Engraving,California,https://dslaserengraving.com/,info@dslaserengraving.com,100,mailto,https://dslaserengraving.com/,found as mailto; mailto link; email domain matches website; useful contact role
575,HP Design,Texas,https://hpdesign.shop/,info@hpdesign.shop,100,mailto,https://hpdesign.shop/,found as mailto; mailto link; email domain matches website; useful contact role
579,Laser Light Engravers,California,https://laserlightusa.com/,shop1@laserlightusa.com,90,mailto,https://laserlightusa.com/,found as mailto; mailto link; email domain matches website
588,Southwest Florida Laser Engraving,Florida,https://swfllaser.com/,scott@swfllaser.com,90,mailto,https://swfllaser.com/,found as mailto; mailto link; email domain matches website
590,Georgia Engraving,Georgia,https://georgiaengraving.com/,orders@georgiaengraving.com,100,mailto,https://georgiaengraving.com/,found as mailto; mailto link; email domain matches website; useful contact role
592,CNC Woodarts Hawaii,Hawaii,https://cncwoodarts.com/,info@cncwoodarts.com,95,visible,https://cncwoodarts.com/pages/about-us,found as visible; visible page text; email domain matches website; useful contact role; found on contact/about-style page
596,Ember & Spruce,Kansas,https://emberandspruce.com/,hello@emberandspruce.com,85,visible,https://emberandspruce.com/,found as visible; visible page text; email domain matches website; useful contact role
598,Engrave Everything,Maryland,https://engraveeverything.us/,info@engraveeverything.us,100,mailto,https://engraveeverything.us/,found as mailto; mailto link; email domain matches website; useful contact role
601,Red Barn Laser Engraving,Minnesota,https://redbarnle.com/,info@redbarnle.com,100,mailto,https://redbarnle.com/about,found as mailto; mailto link; email domain matches website; useful contact role; found on contact/about-style page
605,AC One Laser Engraving,North Carolina,https://aconelaserengraving.com/,sales@aconelaserengraving.com,100,mailto,https://aconelaserengraving.com/,found as mailto; mailto link; email domain matches website; useful contact role
607,Tri City Laser,North Carolina,https://tricitylaserinc.com/,info@tricitylaserinc.com,100,mailto,https://tricitylaserinc.com/,found as mailto; mailto link; email domain matches website; useful contact role
609,M3 Laser Engraving,Ohio,https://m3engraving.com/,sales@m3engraving.com,95,visible,https://m3engraving.com/contact,found as visible; visible page text; email domain matches website; useful contact role; found on contact/about-style page
611,Silsby Media,Oklahoma,https://silsbymedia.com/,mike@silsbymedia.com,100,mailto,https://www.silsbymedia.com/contact,found as mailto; mailto link; email domain matches website; found on contact/about-style page
612,Oregon Design Shop,Oregon,https://ordesignshop.com/,info@ordesignshop.com,100,mailto,https://ordesignshop.com/contact,found as mailto; mailto link; email domain matches website; useful contact role; found on contact/about-style page
614,LB3DR,Rhode Island,https://lb3dr.com/,sales@lb3dr.com,85,visible,https://lb3dr.com/,found as visible; visible page text; email domain matches website; useful contact role
616,Tennessee Silencer,Tennessee,https://tennesseesilencer.com/,sales@tennesseesilencer.com,100,mailto,https://tennesseesilencer.com/,found as mailto; mailto link; email domain matches website; useful contact role
618,BAR Engraving & Woodworks,Virginia,https://barengraving.com/,info@barengraving.com,85,visible,https://barengraving.com/,found as visible; visible page text; email domain matches website; useful contact role
630,The Engraving Studio,British Columbia,https://engravingstudio.ca/,sales@engravingstudio.ca,100,mailto,https://engravingstudio.ca/,found as mailto; mailto link; email domain matches website; useful contact role
631,Trophy Centre,British Columbia,https://trophycentre.ca/,sales@trophycentre.ca,100,mailto,https://trophycentre.ca/,found as mailto; mailto link; email domain matches website; useful contact role
